date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:34	747545/747545	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:42:42	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:42:46	1306849/1306849	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2010:28:17%20GMT	http://digikongnft.com/wp-content/uploads/2022/06/dk-banner-3.png	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/2022/06/dk-banner-3.png	(from https://digikongnft.com/wp-content/uploads/elementor/css/post-2.css?ver=1663412621)
19:42:48	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:42:49	13276/13276	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:42:53	16276/16276	---M--	200	added ('OK')	font/woff	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:43:00	144714/144714	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:43:00	33736/33736	---M--	200	added ('OK')	font/ttf	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:43:34	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:43:35	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot?	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900d41d.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:43:47	78196/78196	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:43:52	101652/101652	---M--	200	added ('OK')	font/woff	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:44:39	918991/918991	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:44:44	202744/202744	---M--	200	added ('OK')	font/ttf	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:45:44	2738190/2738190	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2023:50:31%20GMT	http://digikongnft.com/wp-content/uploads/2022/06/Untitled-design-2022-06-10T174826.067.png	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/2022/06/Untitled-design-2022-06-10T174826.067.png	(from https://digikongnft.com/wp-content/uploads/elementor/css/post-2.css?ver=1663412621)
19:45:49	2874090/2874090	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2010:27:27%20GMT	http://digikongnft.com/wp-content/uploads/2022/06/dk-banner-1.png	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/2022/06/dk-banner-1.png	(from https://digikongnft.com/wp-content/uploads/elementor/css/post-6.css?ver=1655116501)
